OP,Packet,Bandwidth
all_gather_perf,0,0.00
all_gather_perf,0,0.00
all_gather_perf,32,0.00
all_gather_perf,64,0.00
all_gather_perf,128,0.00
all_gather_perf,256,0.00
all_gather_perf,512,0.00
all_gather_perf,1024,0.01
all_gather_perf,2048,0.02
all_gather_perf,4096,0.04
all_gather_perf,8192,0.08
all_gather_perf,16384,0.14
all_gather_perf,32768,0.30
all_gather_perf,65536,0.56
all_gather_perf,131072,1.09
all_gather_perf,262144,2.04
all_gather_perf,524288,3.59
all_gather_perf,1048576,5.00
all_gather_perf,2097152,6.41
all_gather_perf,4194304,7.41
all_gather_perf,8388608,8.31
all_gather_perf,16777216,10.78
all_gather_perf,33554432,11.26
all_gather_perf,67108864,11.47
all_gather_perf,134217728,11.58
all_gather_perf,268435456,11.64
all_gather_perf,536870912,11.70
all_gather_perf,1073741824,11.71
broadcast_perf,8,0.00
broadcast_perf,16,0.00
broadcast_perf,32,0.00
broadcast_perf,64,0.00
broadcast_perf,128,0.01
broadcast_perf,256,0.01
broadcast_perf,512,0.02
broadcast_perf,1024,0.04
broadcast_perf,2048,0.08
broadcast_perf,4096,0.18
broadcast_perf,8192,0.34
broadcast_perf,16384,0.63
broadcast_perf,32768,1.23
broadcast_perf,65536,2.06
broadcast_perf,131072,3.25
broadcast_perf,262144,4.03
broadcast_perf,524288,5.04
broadcast_perf,1048576,5.99
broadcast_perf,2097152,7.78
broadcast_perf,4194304,9.06
broadcast_perf,8388608,9.84
broadcast_perf,16777216,10.48
broadcast_perf,33554432,11.27
broadcast_perf,67108864,11.54
broadcast_perf,134217728,11.80
broadcast_perf,268435456,11.94
broadcast_perf,536870912,11.98
broadcast_perf,1073741824,12.01
reduce_scatter_perf,0,0.00
reduce_scatter_perf,0,0.00
reduce_scatter_perf,32,0.00
reduce_scatter_perf,64,0.00
reduce_scatter_perf,128,0.00
reduce_scatter_perf,256,0.00
reduce_scatter_perf,512,0.00
reduce_scatter_perf,1024,0.01
reduce_scatter_perf,2048,0.02
reduce_scatter_perf,4096,0.04
reduce_scatter_perf,8192,0.07
reduce_scatter_perf,16384,0.14
reduce_scatter_perf,32768,0.29
reduce_scatter_perf,65536,0.57
reduce_scatter_perf,131072,1.07
reduce_scatter_perf,262144,2.00
reduce_scatter_perf,524288,3.46
reduce_scatter_perf,1048576,5.02
reduce_scatter_perf,2097152,6.40
reduce_scatter_perf,4194304,7.54
reduce_scatter_perf,8388608,8.59
reduce_scatter_perf,16777216,11.98
reduce_scatter_perf,33554432,12.54
reduce_scatter_perf,67108864,12.51
reduce_scatter_perf,134217728,12.64
reduce_scatter_perf,268435456,12.73
reduce_scatter_perf,536870912,12.79
reduce_scatter_perf,1073741824,12.84
all_reduce_perf,8,0.00
all_reduce_perf,16,0.00
all_reduce_perf,32,0.00
all_reduce_perf,64,0.00
all_reduce_perf,128,0.00
all_reduce_perf,256,0.00
all_reduce_perf,512,0.01
all_reduce_perf,1024,0.02
all_reduce_perf,2048,0.03
all_reduce_perf,4096,0.06
all_reduce_perf,8192,0.12
all_reduce_perf,16384,0.22
all_reduce_perf,32768,0.44
all_reduce_perf,65536,0.80
all_reduce_perf,131072,1.36
all_reduce_perf,262144,2.65
all_reduce_perf,524288,4.02
all_reduce_perf,1048576,5.60
all_reduce_perf,2097152,6.92
all_reduce_perf,4194304,7.86
all_reduce_perf,8388608,8.74
all_reduce_perf,16777216,9.36
all_reduce_perf,33554432,12.57
all_reduce_perf,67108864,12.66
all_reduce_perf,134217728,12.59
all_reduce_perf,268435456,12.58
all_reduce_perf,536870912,12.59
all_reduce_perf,1073741824,12.58
reduce_perf,8,0.00
reduce_perf,16,0.00
reduce_perf,32,0.00
reduce_perf,64,0.00
reduce_perf,128,0.01
reduce_perf,256,0.01
reduce_perf,512,0.02
reduce_perf,1024,0.04
reduce_perf,2048,0.07
reduce_perf,4096,0.14
reduce_perf,8192,0.29
reduce_perf,16384,0.50
reduce_perf,32768,1.02
reduce_perf,65536,1.73
reduce_perf,131072,2.60
reduce_perf,262144,3.50
reduce_perf,524288,4.27
reduce_perf,1048576,4.97
reduce_perf,2097152,7.56
reduce_perf,4194304,9.33
reduce_perf,8388608,10.30
reduce_perf,16777216,11.30
reduce_perf,33554432,12.19
reduce_perf,67108864,12.65
reduce_perf,134217728,12.94
reduce_perf,268435456,13.05
reduce_perf,536870912,13.09
reduce_perf,1073741824,13.13
