SZ:4,BW:0.000300,LT:0.013
SZ:8,BW:0.000587,LT:0.014
SZ:16,BW:0.001185,LT:0.014
SZ:32,BW:0.002350,LT:0.014
SZ:64,BW:0.004710,LT:0.014
SZ:128,BW:0.009355,LT:0.014
SZ:256,BW:0.016403,LT:0.016
SZ:512,BW:0.032508,LT:0.016
SZ:1024,BW:0.063952,LT:0.016
SZ:2048,BW:0.125084,LT:0.016
SZ:4096,BW:0.238181,LT:0.017
SZ:8192,BW:0.274062,LT:0.030
SZ:16384,BW:0.365266,LT:0.045
SZ:32768,BW:0.443254,LT:0.074
SZ:65536,BW:1.448694,LT:0.045
SZ:131072,BW:2.103209,LT:0.062
SZ:262144,BW:3.038540,LT:0.086
SZ:524288,BW:4.267361,LT:0.123
SZ:1048576,BW:5.257601,LT:0.199
SZ:2097152,BW:5.967023,LT:0.351
SZ:4194304,BW:6.463017,LT:0.649
SZ:8388608,BW:8.473282,LT:0.990
SZ:16777216,BW:10.212723,LT:1.643
SZ:33554432,BW:11.150956,LT:3.009
SZ:67108864,BW:11.689434,LT:5.741
SZ:134217728,BW:11.420253,LT:11.753
SZ:268435456,BW:10.454894,LT:25.676
SZ:536870912,BW:8.853920,LT:60.637
SZ:1073741824,BW:6.582522,LT:163.120
