OP,Packet,Bandwidth
all_gather_perf,0,0.00
all_gather_perf,0,0.00
all_gather_perf,32,0.00
all_gather_perf,64,0.00
all_gather_perf,128,0.00
all_gather_perf,256,0.00
all_gather_perf,512,0.01
all_gather_perf,1024,0.02
all_gather_perf,2048,0.03
all_gather_perf,4096,0.07
all_gather_perf,8192,0.13
all_gather_perf,16384,0.26
all_gather_perf,32768,0.50
all_gather_perf,65536,0.87
all_gather_perf,131072,1.40
all_gather_perf,262144,2.98
all_gather_perf,524288,4.33
all_gather_perf,1048576,5.49
all_gather_perf,2097152,6.40
all_gather_perf,4194304,6.91
all_gather_perf,8388608,7.40
all_gather_perf,16777216,7.43
all_gather_perf,33554432,7.46
all_gather_perf,67108864,7.47
all_gather_perf,134217728,7.47
all_gather_perf,268435456,7.49
all_gather_perf,536870912,7.49
all_gather_perf,1073741824,7.49
all_reduce_perf,8,0.00
all_reduce_perf,16,0.00
all_reduce_perf,32,0.00
all_reduce_perf,64,0.00
all_reduce_perf,128,0.00
all_reduce_perf,256,0.01
all_reduce_perf,512,0.01
all_reduce_perf,1024,0.02
all_reduce_perf,2048,0.05
all_reduce_perf,4096,0.10
all_reduce_perf,8192,0.18
all_reduce_perf,16384,0.32
all_reduce_perf,32768,0.60
all_reduce_perf,65536,1.05
all_reduce_perf,131072,1.58
all_reduce_perf,262144,3.27
all_reduce_perf,524288,4.71
all_reduce_perf,1048576,5.90
all_reduce_perf,2097152,6.71
all_reduce_perf,4194304,7.25
all_reduce_perf,8388608,7.64
all_reduce_perf,16777216,7.40
all_reduce_perf,33554432,7.41
all_reduce_perf,67108864,7.68
all_reduce_perf,134217728,7.69
all_reduce_perf,268435456,7.69
all_reduce_perf,536870912,7.69
all_reduce_perf,1073741824,7.69
broadcast_perf,8,0.00
broadcast_perf,16,0.00
broadcast_perf,32,0.00
broadcast_perf,64,0.00
broadcast_perf,128,0.00
broadcast_perf,256,0.01
broadcast_perf,512,0.01
broadcast_perf,1024,0.03
broadcast_perf,2048,0.06
broadcast_perf,4096,0.12
broadcast_perf,8192,0.22
broadcast_perf,16384,0.47
broadcast_perf,32768,0.74
broadcast_perf,65536,1.07
broadcast_perf,131072,1.38
broadcast_perf,262144,1.62
broadcast_perf,524288,2.70
broadcast_perf,1048576,4.25
broadcast_perf,2097152,5.82
broadcast_perf,4194304,7.18
broadcast_perf,8388608,8.12
broadcast_perf,16777216,8.67
broadcast_perf,33554432,8.99
broadcast_perf,67108864,9.16
broadcast_perf,134217728,9.24
broadcast_perf,268435456,9.29
broadcast_perf,536870912,9.31
broadcast_perf,1073741824,9.32
reduce_perf,8,0.00
reduce_perf,16,0.00
reduce_perf,32,0.00
reduce_perf,64,0.00
reduce_perf,128,0.00
reduce_perf,256,0.01
reduce_perf,512,0.01
reduce_perf,1024,0.03
reduce_perf,2048,0.06
reduce_perf,4096,0.12
reduce_perf,8192,0.21
reduce_perf,16384,0.35
reduce_perf,32768,0.57
reduce_perf,65536,0.84
reduce_perf,131072,1.09
reduce_perf,262144,1.29
reduce_perf,524288,1.41
reduce_perf,1048576,2.35
reduce_perf,2097152,3.58
reduce_perf,4194304,4.85
reduce_perf,8388608,5.86
reduce_perf,16777216,6.62
reduce_perf,33554432,7.04
reduce_perf,67108864,7.24
reduce_perf,134217728,7.39
reduce_perf,268435456,7.46
reduce_perf,536870912,7.47
reduce_perf,1073741824,7.49
reduce_scatter_perf,0,0.00
reduce_scatter_perf,0,0.00
reduce_scatter_perf,32,0.00
reduce_scatter_perf,64,0.00
reduce_scatter_perf,128,0.00
reduce_scatter_perf,256,0.00
reduce_scatter_perf,512,0.01
reduce_scatter_perf,1024,0.02
reduce_scatter_perf,2048,0.03
reduce_scatter_perf,4096,0.07
reduce_scatter_perf,8192,0.13
reduce_scatter_perf,16384,0.26
reduce_scatter_perf,32768,0.50
reduce_scatter_perf,65536,0.87
reduce_scatter_perf,131072,1.42
reduce_scatter_perf,262144,2.77
reduce_scatter_perf,524288,4.04
reduce_scatter_perf,1048576,5.13
reduce_scatter_perf,2097152,6.02
reduce_scatter_perf,4194304,6.62
reduce_scatter_perf,8388608,7.13
reduce_scatter_perf,16777216,7.18
reduce_scatter_perf,33554432,7.21
reduce_scatter_perf,67108864,7.22
reduce_scatter_perf,134217728,7.23
reduce_scatter_perf,268435456,7.22
reduce_scatter_perf,536870912,7.22
reduce_scatter_perf,1073741824,7.22
